AddSubtract,Epsilon 0.1,,AddSubtractSafe,Epsilon 0.1,,ArcLength,Epsilon 0.1,,DivideByTwo,Epsilon 0.1,,Exp,Epsilon 0.1,,Quadratic,Epsilon 0.1,,QuadraticSafe,Epsilon 0.1,,SampleEvens,Epsilon 0.1
Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average,,Epsilon 0.01,Average
4.77E-06,,,0,,,4.11E-07,,,0.003323732,,,2.26E-06,,,7.77E-06,,,6.13E-13,,,8.26E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003342308,,,2.27E-06,,,7.77E-06,,,6.12E-13,,,8.32E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003338873,,,2.18E-06,,,7.77E-06,,,6.14E-13,,,8.22E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003324129,,,2.19E-06,,,7.77E-06,,,6.14E-13,,,8.35E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003323946,,,2.22E-06,,,7.77E-06,,,6.14E-13,,,8.31E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003332679,,,2.10E-06,,,7.77E-06,,,6.13E-13,,,8.32E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003326564,,,2.38E-06,,,7.77E-06,,,6.14E-13,,,8.26E-06,
4.77E-06,,,0,,,4.14E-07,,,0.003331304,,,2.13E-06,,,7.77E-06,,,6.15E-13,,,8.18E-06,
4.77E-06,,,0,,,4.22E-07,,,0.00333478,,,2.19E-06,,,7.77E-06,,,6.12E-13,,,8.22E-06,
5.01E-06,,,0,,,4.18E-07,,,0.003358429,,,2.19E-06,,,7.77E-06,,,6.12E-13,,,8.33E-06,
4.77E-06,,,0,,,4.22E-07,,,0.00333167,,,2.17E-06,,,7.77E-06,,,6.11E-13,,,8.35E-06,
4.77E-06,,,0,,,4.25E-07,,,0.003317804,,,2.32E-06,,,7.77E-06,,,6.13E-13,,,8.24E-06,
5.01E-06,,,0,,,4.21E-07,,,0.003325784,,,2.14E-06,,,7.77E-06,,,6.11E-13,,,8.29E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003359685,,,2.04E-06,,,7.77E-06,,,6.12E-13,,,8.38E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003351975,,,2.28E-06,,,7.77E-06,,,6.14E-13,,,8.31E-06,
4.77E-06,,,0,,,4.21E-07,,,0.00336468,,,2.23E-06,,,7.77E-06,,,6.17E-13,,,8.33E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003312857,,,2.20E-06,,,7.77E-06,,,6.16E-13,,,8.40E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003350416,,,2.23E-06,,,7.77E-06,,,6.13E-13,,,8.36E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003307246,,,2.18E-06,,,7.77E-06,,,6.14E-13,,,8.23E-06,
4.77E-06,,,0,,,4.27E-07,,,0.003294766,,,2.22E-06,,,7.77E-06,,,6.13E-13,,,8.06E-06,
5.01E-06,,,0,,,4.20E-07,,,0.003336195,,,2.10E-06,,,7.77E-06,,,6.15E-13,,,8.29E-06,
4.77E-06,,,0,,,4.16E-07,,,0.003336306,,,2.29E-06,,,7.77E-06,,,6.12E-13,,,8.16E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003338215,,,2.18E-06,,,7.77E-06,,,6.16E-13,,,8.22E-06,
4.77E-06,,,0,,,4.19E-07,,,0.00333386,,,2.13E-06,,,7.77E-06,,,6.14E-13,,,8.13E-06,
4.77E-06,,,0,,,4.15E-07,,,0.00335056,,,2.15E-06,,,7.77E-06,,,6.16E-13,,,8.25E-06,
4.77E-06,,,0,,,4.15E-07,,,0.003346196,,,2.26E-06,,,7.77E-06,,,6.16E-13,,,8.39E-06,
4.77E-06,,,0,,,4.13E-07,,,0.003376432,,,2.24E-06,,,7.77E-06,,,6.12E-13,,,8.12E-06,
4.77E-06,,,0,,,4.23E-07,,,0.00331087,,,2.20E-06,,,7.77E-06,,,6.12E-13,,,8.14E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003336624,,,2.29E-06,,,7.77E-06,,,6.17E-13,,,8.25E-06,
4.77E-06,,,0,,,4.23E-07,,,0.003341497,,,2.20E-06,,,7.77E-06,,,6.13E-13,,,8.20E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003340668,,,2.12E-06,,,7.77E-06,,,6.12E-13,,,8.45E-06,
4.77E-06,,,0,,,4.17E-07,,,0.003329085,,,2.30E-06,,,7.77E-06,,,6.12E-13,,,8.30E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003346515,,,2.17E-06,,,7.77E-06,,,6.11E-13,,,8.08E-06,
4.77E-06,,,0,,,4.19E-07,,,0.003340826,,,2.29E-06,,,7.77E-06,,,6.10E-13,,,8.31E-06,
4.77E-06,,,0,,,4.22E-07,,,0.003305393,,,2.26E-06,,,7.77E-06,,,6.11E-13,,,8.21E-06,
4.77E-06,,,0,,,4.18E-07,,,0.003361806,,,2.29E-06,,,7.77E-06,,,6.13E-13,,,8.39E-06,
4.77E-06,,,0,,,4.26E-07,,,0.003342052,,,2.24E-06,,,7.77E-06,,,6.13E-13,,,8.11E-06,
4.77E-06,,,0,,,4.24E-07,,,0.003370516,,,2.25E-06,,,7.77E-06,,,6.16E-13,,,8.29E-06,
4.77E-06,,,0,,,4.20E-07,,,0.003347666,,,2.13E-06,,,7.77E-06,,,6.13E-13,,,8.30E-06,
